subject,seed,dominantEye,sex,ethnicity,race,trial,item,tStart,tEnd,exitFlag,jitter,tType,eyes_1,eyes_2,transparency,pas,response,rt
2,765152725,Right,,rather not say,rather not say,52,90,166029.920633651,166030.045650875,CAUGHT,1,NULL,0,0,0,,Return,0.130558966542594
2,765152725,Right,,rather not say,rather not say,53,1,166031.454106074,166034.579391608,OK,6,CFS,1,0,0.5,2@,Return,3.13086319732247
2,765152725,Right,,rather not say,rather not say,54,96,166035.996187426,166039.12147012,OK,6,CFS,1,0,0.5,2@,Return,3.13082502206089
2,765152725,Right,,rather not say,rather not say,55,45,166040.538256083,166043.163496837,OK,2,CFS,1,0,0.5,2@,Return,2.63087017610087
2,765152725,Right,,rather not say,rather not say,56,46,166044.580292353,166047.830583942,OK,7,CFS,1,0,0.5,2@,Return,3.25587315845769
2,765152725,Right,,rather not say,rather not say,57,94,166049.25571571,166051.880948704,OK,2,CFS,1,0,0.5,2@,Return,2.63084190769587
2,765152725,Right,,rather not say,rather not say,58,69,166053.29774834,166053.422753257,CAUGHT,6,NULL,0,0,0,,Return,0.130495061486727
2,765152725,Right,,rather not say,rather not say,59,52,166054.831217352,166057.331437846,OK,1,CFS,1,0,0.5,2@,Return,2.50582353089703
2,765152725,Right,,rather not say,rather not say,60,51,166058.748236701,166061.74850716,OK,5,CFS,1,0,0.5,2@,Return,3.00582683319226
2,765152725,Right,,rather not say,rather not say,61,22,166063.431990981,166066.182240969,OK,3,CFS,1,0,0.5,2@,Return,2.75576770631596
2,765152725,Right,,rather not say,rather not say,62,75,166067.59903494,166070.849326991,OK,7,CFS,1,0,0.5,2@,Return,3.25590517287492
2,765152725,Right,,rather not say,rather not say,63,37,166072.266122489,166074.891354755,OK,2,CFS,1,0,0.5,2@,Return,2.63083453947911
2,765152725,Right,,rather not say,rather not say,64,38,166076.308151657,166079.308434456,OK,5,CFS,1,0,0.5,2@,Return,3.00595449854154
2,765152725,Right,,rather not say,rather not say,65,86,166080.725213352,166083.475469057,OK,3,CFS,1,0,0.5,2@,Return,2.75586172426119
