subject,seed,dominantEye,sex,ethnicity,race,trial,item,tStart,tEnd,exitFlag,jitter,tType,eyes_1,eyes_2,transparency,pas,response,rt
1,765111212,Right,,rather not say,rather not say,1,67,165422.28235493,165424.907590478,OK,2,CFS,1,0,0.5,2@,Return,2.63090392647428
1,765111212,Right,,rather not say,rather not say,2,1,165426.34938509,165428.974630817,OK,2,CFS,1,0,0.5,2@,Return,2.63083483968512
1,765111212,Right,,rather not say,rather not say,3,83,165430.39142052,165433.391695104,OK,5,CFS,1,0,0.5,2@,Return,3.00592529398273
1,765111212,Right,,rather not say,rather not say,4,65,165434.808493318,165437.558745342,OK,3,CFS,1,0,0.5,2@,Return,2.75574263377348
1,765111212,Right,,rather not say,rather not say,5,85,165438.975539976,165442.100825588,OK,6,CFS,1,0,0.5,2@,Return,3.13089339900762
1,765111212,Right,,rather not say,rather not say,6,49,165443.517618188,165446.892919659,OK,8,CFS,1,0,0.5,2@,Return,3.3809724644525
1,765111212,Right,,rather not say,rather not say,7,22,165448.309718556,165448.434728034,CAUGHT,2,NULL,0,0,0,,Return,0.130545806314331
1,765111212,Right,,rather not say,rather not say,8,71,165449.843195893,165452.968481928,OK,6,CFS,1,0,0.5,2@,Return,3.13086142251268
1,765111212,Right,,rather not say,rather not say,9,69,165454.385269678,165457.135524019,OK,3,CFS,1,0,0.5,2@,Return,2.7558446994517
1,765111212,Right,,rather not say,rather not say,10,19,165458.552321448,165461.802615653,OK,7,CFS,1,0,0.5,2@,Return,3.25603351788595
1,765111212,Right,,rather not say,rather not say,11,64,165463.486105829,165465.861323645,OK,0,CFS,1,0,0.5,2@,Return,2.38081479622633
1,765111212,Right,,rather not say,rather not say,12,41,165467.27811552,165467.403130452,CAUGHT,0,NULL,0,0,0,,Return,0.130617666989565
1,765111212,Right,,rather not say,rather not say,13,48,165468.811589114,165468.936597063,CAUGHT,0,NULL,0,0,0,,Return,0.130545524298213
1,765111212,Right,,rather not say,rather not say,14,33,165470.345062064,165470.470071462,CAUGHT,6,NULL,0,0,0,,Return,0.130696188163711
1,765111212,Right,,rather not say,rather not say,15,6,165471.878531472,165474.253748625,OK,0,CFS,1,0,0.5,2@,Return,2.38093672471587
1,765111212,Right,,rather not say,rather not say,16,15,165475.670545691,165478.170778258,OK,1,CFS,1,0,0.5,2@,Return,2.5058428288612
1,765111212,Right,,rather not say,rather not say,17,89,165479.587570576,165481.962787165,OK,0,CFS,1,0,0.5,2@,Return,2.38085085767671
1,765111212,Right,,rather not say,rather not say,18,93,165483.379582662,165483.504593247,CAUGHT,2,NULL,0,0,0,,Return,0.130688763078069
1,765111212,Right,,rather not say,rather not say,19,37,165484.913050482,165488.288360363,OK,8,CFS,1,0,0.5,2@,Return,3.38090160847059
1,765111212,Right,,rather not say,rather not say,20,25,165489.705157691,165492.080373535,OK,0,CFS,1,0,0.5,2@,Return,2.38088707995485
1,765111212,Right,,rather not say,rather not say,21,74,165493.772197728,165496.522447078,OK,3,CFS,1,0,0.5,2@,Return,2.75585067702923
1,765111212,Right,,rather not say,rather not say,22,43,165497.939239556,165501.064524324,OK,6,CFS,1,0,0.5,2@,Return,3.13088553104899
1,765111212,Right,,rather not say,rather not say,23,24,165502.481323021,165505.356579716,OK,4,CFS,1,0,0.5,2@,Return,2.88090621781885
1,765111212,Right,,rather not say,rather not say,24,13,165506.773378393,165509.898661389,OK,6,CFS,1,0,0.5,2@,Return,3.13088617438916
1,765111212,Right,,rather not say,rather not say,25,45,165511.315453284,165511.440466727,CAUGHT,1,NULL,0,0,0,,Return,0.130567700514803
1,765111212,Right,,rather not say,rather not say,26,9,165512.848928791,165516.224231286,OK,8,CFS,1,0,0.5,2@,Return,3.38096121439594
1,765111212,Right,,rather not say,rather not say,27,68,165517.641030668,165520.266265568,OK,2,CFS,1,0,0.5,2@,Return,2.63083399357856
1,765111212,Right,,rather not say,rather not say,28,16,165521.683057968,165525.058367124,OK,8,CFS,1,0,0.5,2@,Return,3.38092986136326
1,765111212,Right,,rather not say,rather not say,29,63,165526.474865676,165529.725464835,OK,7,CFS,1,0,0.5,2@,Return,3.25615899157128
1,765111212,Right,,rather not say,rather not say,30,11,165531.142258682,165534.517560635,OK,8,CFS,1,0,0.5,2@,Return,3.38094680703944
1,765111212,Right,,rather not say,rather not say,31,12,165536.201046021,165539.576356184,OK,8,CFS,1,0,0.5,2@,Return,3.38087937279488
1,765111212,Right,,rather not say,rather not say,32,98,165540.993151843,165541.118162106,CAUGHT,0,NULL,0,0,0,,Return,0.130532383802347
